Data;3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$
02/1995;0,8495
03/1995;0,8940
04/1995;0,9110
05/1995;0,9040
06/1995;0,9200
07/1995;0,9340
08/1995;0,9490
09/1995;0,9520
10/1995;0,9609
11/1995;0,9656
12/1995;0,9715
01/1996;0,9776
02/1996;0,9832
03/1996;0,9872
04/1996;0,9917
05/1996;0,9976
06/1996;1,0036
07/1996;1,0104
08/1996;1,0161
09/1996;1,0207
10/1996;1,0268
11/1996;1,0324
12/1996;1,0386
01/1997;1,0453
02/1997;1,0507
03/1997;1,0585
04/1997;1,0630
05/1997;1,0709
06/1997;1,0761
07/1997;1,0826
08/1997;1,0908
09/1997;1,0956
10/1997;1,1023
11/1997;1,1090
12/1997;1,1156
01/1998;1,1229
02/1998;1,1296
03/1998;1,1366
04/1998;1,1435
05/1998;1,1497
06/1998;1,1561
07/1998;1,1626
08/1998;1,1761
09/1998;1,1848
10/1998;1,1924
11/1998;1,2004
12/1998;1,2079
01/1999;1,9824
02/1999;2,0640
03/1999;1,7212
04/1999;1,6599
05/1999;1,7232
06/1999;1,7687
07/1999;1,7884
08/1999;1,9151
09/1999;1,9215
10/1999;1,9522
11/1999;1,9219
12/1999;1,7882
01/2000;1,8016
02/2000;1,7677
03/2000;1,7465
04/2000;1,8059
05/2000;1,8258
06/2000;1,7992
07/2000;1,7740
08/2000;1,8226
09/2000;1,8429
10/2000;1,9082
11/2000;1,9588
12/2000;1,9546
01/2001;1,9703
02/2001;2,0444
03/2001;2,1608
04/2001;2,1839
05/2001;2,3592
06/2001;2,3041
07/2001;2,4305
08/2001;2,5509
09/2001;2,6705
10/2001;2,7063
11/2001;2,5279
12/2001;2,3196
01/2002;2,4175
02/2002;2,3474
03/2002;2,3228
04/2002;2,3617
05/2002;2,5212
06/2002;2,8436
07/2002;3,4277
08/2002;3,0215
09/2002;3,8941
10/2002;3,6442
11/2002;3,6357
12/2002;3,5325
01/2003;3,5250
02/2003;3,5624
03/2003;3,3523
04/2003;2,8890
05/2003;2,9648
06/2003;2,8712
07/2003;2,9647
08/2003;2,9657
09/2003;2,9226
10/2003;2,8554
11/2003;2,9486
12/2003;2,8884
01/2004;2,9401
02/2004;2,9130
03/2004;2,9078
04/2004;2,9439
05/2004;3,1283
06/2004;3,1067
07/2004;3,0260
08/2004;2,9330
09/2004;2,8578
10/2004;2,8557
11/2004;2,7299
12/2004;2,6536
01/2005;2,6240
02/2005;2,5942
03/2005;2,6654
04/2005;2,5305
05/2005;2,4030
06/2005;2,3496
07/2005;2,3897
08/2005;2,3629
09/2005;2,2214
10/2005;2,2535
11/2005;2,2062
12/2005;2,3399
01/2006;2,2152
02/2006;2,1347
03/2006;2,1716
04/2006;2,0884
05/2006;2,2997
06/2006;2,1635
07/2006;2,1754
08/2006;2,1380
09/2006;2,1734
10/2006;2,1422
11/2006;2,1660
12/2006;2,1372
01/2007;2,1239
02/2007;2,1174
03/2007;2,0496
04/2007;2,0331
05/2007;1,9281
06/2007;1,9254
07/2007;1,8768
08/2007;1,9612
09/2007;1,8381
10/2007;1,7432
11/2007;1,7829
12/2007;1,7705
01/2008;1,7595
02/2008;1,6825
03/2008;1,7483
04/2008;1,6864
05/2008;1,6286
06/2008;1,5911
07/2008;1,5658
08/2008;1,6336
09/2008;1,9135
10/2008;2,1145
11/2008;2,3323
12/2008;2,3362
01/2009;2,3154
