Data;2860 - Investimento estrangeiro direto - IED (líquido) - mensal - US$ (milhões)
jan/95;429,2
fev/95;131,1
mar/95;-22,1
abr/95;167,9
mai/95;484,7
jun/95;359
jul/95;400,3
ago/95;425,7
set/95;632,4
out/95;307,5
nov/95;369,4
dez/95;720
jan/96;683,2
fev/96;347,2
mar/96;594,2
abr/96;600,3
mai/96;1774,8
jun/96;1356,3
jul/96;634,6
ago/96;461,1
set/96;376,3
out/96;891,5
nov/96;1051,8
dez/96;2020,4
jan/97;1012,5
fev/97;348,3
mar/97;1658,4
abr/97;1742,7
mai/97;1886,6
jun/97;1139,3
jul/97;1645,3
ago/97;1634,7
set/97;1556,9
out/97;3202,2
nov/97;1240,8
dez/97;1925,3
jan/98;951
fev/98;1294,8
mar/98;1713,1
abr/98;2050
mai/98;1405,4
jun/98;2839,7
jul/98;2930
ago/98;4541,9
set/98;2518
out/98;3615,9
nov/98;2222,9
dez/98;2773
jan/99;1302,9
fev/99;4621,6
mar/99;1698
abr/99;2330,6
mai/99;1310
jun/99;2027,4
jul/99;3761,9
ago/99;2703,4
set/99;2514,7
out/99;2152,9
nov/99;1802,1
dez/99;2352,9
jan/00;3029
fev/00;1688,7
mar/00;2247,5
abr/00;1369
mai/00;1666,3
jun/00;3404,9
jul/00;5153
ago/00;2488,5
set/00;1584,1
out/00;2121,4
nov/00;5721,7
dez/00;2305,1
jan/01;1657,2
fev/01;994,7
mar/01;2085,7
abr/01;2029
mai/01;2040,3
jun/01;1093,5
jul/01;2489,9
ago/01;1403,2
set/01;1487,9
out/01;1335,1
nov/01;2181,9
dez/01;3659
jan/02;1475,4
fev/02;856,3
mar/02;2386,9
abr/02;1964,2
mai/02;1427,9
jun/02;1530,2
jul/02;930,4
ago/02;881,8
set/02;1236,3
out/02;1244,2
nov/02;1154,1
dez/02;1502,5
jan/03;904,9
fev/03;788,5
mar/03;283,7
abr/03;796,4
mai/03;541,3
jun/03;185,6
jul/03;1247
ago/03;979,9
set/03;739,4
out/03;314,2
nov/03;1953,7
dez/03;1409
jan/04;1019,7
fev/04;1015,8
mar/04;698,7
abr/04;377,8
mai/04;206,1
jun/04;725,1
jul/04;1585,7
ago/04;6089,4
set/04;646
out/04;1312,6
nov/04;1319,2
dez/04;3149,8
jan/05;1203,3
fev/05;844,5
mar/05;1394,9
abr/05;3037,2
mai/05;708,6
jun/05;1325,4
jul/05;2029,4
ago/05;1090
set/05;31,2
out/05;823,5
nov/05;1172,1
dez/05;1406,3
jan/06;1474,4
fev/06;854,1
mar/06;1657,8
abr/06;785,2
mai/06;1577,1
jun/06;1032,5
jul/06;1586
ago/06;1256,4
set/06;1752,1
out/06;1721,9
nov/06;2667,5
dez/06;2457,3
jan/07;2422
fev/07;1377,5
mar/07;2766
abr/07;3471,2
mai/07;497,1
jun/07;10318,4
jul/07;3613,4
ago/07;1979,2
set/07;1536,9
out/07;3187,6
nov/07;2529,7
dez/07;885,9
jan/08;4826,1
fev/08;890
mar/08;3083,2
abr/08;3872
mai/08;1312,8
jun/08;2725,8
jul/08;3266,3
ago/08;4637,8
set/08;6241,4
out/08;3913,2
nov/08;2174,5
dez/08;8115,2
jan/09;1930
fev/09;1968,3
mar/09;1444
abr/09;3409,1
mai/09;2482,7
jun/09;1431,3
jul/09;1287,2
ago/09;1903,2
set/09;1816,2
out/09;1563
nov/09;1604,4
dez/09;5109,1
jan/10;585,2
fev/10;2843,4
mar/10;2083,2
abr/10;2228,4
mai/10;3589,8
jun/10;766
jul/10;2634,7
ago/10;2422
set/10;5424,2
out/10;6814,9
nov/10;3740,3
dez/10;15374,3
jan/11;2953,2
fev/11;7794,9
mar/11;6786,8
abr/11;5519,6
mai/11;3972,7
jun/11;5474,9
jul/11;5982,3
ago/11;5595,9
set/11;6305,4
out/11;5574,4
nov/11;4056,5
dez/11;6643,6
jan/12;5405,5
fev/12;3645,9
mar/12;5897,2
abr/12;5243
mai/12;3715,8
jun/12;5822,1
jul/12;8439,9
ago/12;5034,8
set/12;4393,1
out/12;7730,1
nov/12;4586,6
dez/12;5357,9
jan/13;3703,4
fev/13;3789,9
mar/13;5739
abr/13;5718,7
mai/13;3867,9
jun/13;7170,5
jul/13;5212,4
ago/13;3774,8
set/13;4770,3
out/13;5439,4
nov/13;8333,9
dez/13;6475,7
jan/14;5114,6
fev/14;4052,7
mar/14;4976,9
abr/14;5232,5
mai/14;5962,9
jun/14;3924
jul/14;5898,2
ago/14;6839,6
set/14;4213,5
out/14;4985,4
nov/14;4644,5
dez/14;6649,9
jan/15;3968,3
fev/15;2768,9
Fonte;
